"GeoFips","GeoName","LineCode","Description","2016"
"35660","Niles-Benton Harbor, MI (Metropolitan Statistical Area)","1","RPPs: All items",89.0
"35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)","1","RPPs: All items",99.0
"35980","Norwich-New London, CT (Metropolitan Statistical Area)","1","RPPs: All items",101.0
"36100","Ocala, FL (Metropolitan Statistical Area)","1","RPPs: All items",90.2
"36140","Ocean City, NJ (Metropolitan Statistical Area)","1","RPPs: All items",106.1
"36220","Odessa, TX (Metropolitan Statistical Area)","1","RPPs: All items",96.8
"36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)","1","RPPs: All items",95.1
"36420","Oklahoma City, OK (Metropolitan Statistical Area)","1","RPPs: All items",91.6
"36500","Olympia-Tumwater, WA (Metropolitan Statistical Area)","1","RPPs: All items",106.9
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)","1","RPPs: All items",93.4
"36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)","1","RPPs: All items",98.0
"36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)","1","RPPs: All items",91.1
"36980","Owensboro, KY (Metropolitan Statistical Area)","1","RPPs: All items",87.0
"37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)","1","RPPs: All items",117.2
"37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)","1","RPPs: All items",95.6
"37460","Panama City, FL (Metropolitan Statistical Area)","1","RPPs: All items",93.7
"37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)","1","RPPs: All items",86.9
"37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)","1","RPPs: All items",92.3
"37900","Peoria, IL (Metropolitan Statistical Area)","1","RPPs: All items",90.8
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","1","RPPs: All items",105.9
"38060","Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)","1","RPPs: All items",97.1
"38220","Pine Bluff, AR (Metropolitan Statistical Area)","1","RPPs: All items",82.9
"38300","Pittsburgh, PA (Metropolitan Statistical Area)","1","RPPs: All items",94.3
"38340","Pittsfield, MA (Metropolitan Statistical Area)","1","RPPs: All items",96.2
"38540","Pocatello, ID (Metropolitan Statistical Area)","1","RPPs: All items",88.9
"38860","Portland-South Portland, ME (Metropolitan Statistical Area)","1","RPPs: All items",101.7
"38900","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)","1","RPPs: All items",101.7
"38940","Port St. Lucie, FL (Metropolitan Statistical Area)","1","RPPs: All items",96.7
"39140","Prescott, AZ (Metropolitan Statistical Area)","1","RPPs: All items",95.6
"39300","Providence-Warwick, RI-MA (Metropolitan Statistical Area)","1","RPPs: All items",99.7
"39340","Provo-Orem, UT (Metropolitan Statistical Area)","1","RPPs: All items",96.8
"39380","Pueblo, CO (Metropolitan Statistical Area)","1","RPPs: All items",91.5
"39460","Punta Gorda, FL (Metropolitan Statistical Area)","1","RPPs: All items",94.7
"39540","Racine, WI (Metropolitan Statistical Area)","1","RPPs: All items",93.2
"39580","Raleigh, NC (Metropolitan Statistical Area)","1","RPPs: All items",95.9
"39660","Rapid City, SD (Metropolitan Statistical Area)","1","RPPs: All items",90.8
"39740","Reading, PA (Metropolitan Statistical Area)","1","RPPs: All items",96.2
"39820","Redding, CA (Metropolitan Statistical Area)","1","RPPs: All items",97.4
