,zip,city,state,latitude,longitude,population,pop_45-49,pop_50-54,pop_55-59,pop_60-64,pop_65-69,pop_70-74,pop_75-inf
27248,59474,Shelby,MT,48.479975,-111.76863,3585.0,216.0,233.0,309.0,350.0,171.0,100.0,295.0
27249,59477,Simms,MT,47.459112,-111.96711,479.0,8.0,61.0,42.0,72.0,17.0,17.0,22.0
27250,59479,Stanford,MT,47.104848,-110.26076,766.0,35.0,68.0,103.0,65.0,44.0,43.0,67.0
27251,59480,Stockett,MT,47.188396000000004,-111.16349,623.0,31.0,46.0,23.0,30.0,31.0,11.0,37.0
27252,59482,Sunburst,MT,48.88117800000001,-111.91516000000001,619.0,44.0,87.0,49.0,31.0,68.0,12.0,53.0
27253,59483,Sun River,MT,47.465072,-111.79735,564.0,50.0,16.0,29.0,39.0,52.0,66.0,44.0
27254,59484,Sweet Grass,MT,48.979905,-111.92471,109.0,7.0,0.0,13.0,26.0,12.0,19.0,2.0
27255,59485,Ulm,MT,47.429272999999995,-111.59357,472.0,39.0,33.0,42.0,37.0,66.0,70.0,48.0
27256,59486,Valier,MT,48.336146,-112.31498,1067.0,38.0,45.0,80.0,78.0,66.0,52.0,99.0
27257,59487,Vaughn,MT,47.577613,-111.60477,1260.0,35.0,95.0,127.0,120.0,109.0,75.0,78.0
27258,59489,Winifred,MT,47.065531,-109.43010600000001,347.0,18.0,44.0,46.0,31.0,27.0,18.0,13.0
27259,59500,Havre,MT,48.555536,-109.68953,0.0,0.0,0.0,0.0,,,,
27260,59501,Havre,MT,48.584562,-109.78365,12528.0,627.0,767.0,999.0,668.0,526.0,514.0,829.0
27261,59520,Big Sandy,MT,48.141017,-110.06828,1192.0,65.0,70.0,55.0,126.0,92.0,51.0,81.0
27262,59521,Box Elder,MT,48.321712,-109.9578,3917.0,228.0,186.0,186.0,152.0,114.0,66.0,78.0
27263,59522,Chester,MT,48.487928000000004,-111.00381000000002,1723.0,108.0,116.0,143.0,193.0,101.0,104.0,215.0
27264,59523,Chinook,MT,48.485856,-109.17406000000001,2233.0,148.0,154.0,164.0,164.0,137.0,109.0,268.0
27265,59524,Dodson,MT,48.148715,-108.37109,817.0,64.0,57.0,44.0,33.0,29.0,23.0,51.0
27266,59525,Gildford,MT,48.733088,-110.32495,319.0,26.0,7.0,15.0,26.0,20.0,16.0,34.0
27267,59526,Harlem,MT,48.483212,-108.72208,2478.0,79.0,151.0,157.0,105.0,102.0,84.0,72.0
27268,59527,Hays,MT,48.023133,-108.69955,1126.0,52.0,62.0,76.0,46.0,21.0,24.0,38.0
27269,59528,Hingham,MT,48.555089,-110.41769,253.0,13.0,15.0,54.0,17.0,12.0,10.0,8.0
27270,59529,Hogeland,MT,48.843446,-108.73813,188.0,8.0,14.0,20.0,27.0,5.0,34.0,0.0
27271,59530,Inverness,MT,48.631693,-110.67383999999998,131.0,8.0,0.0,0.0,0.0,6.0,7.0,9.0
27272,59531,Joplin,MT,48.675352000000004,-110.8269,309.0,32.0,36.0,21.0,18.0,12.0,15.0,12.0
27273,59532,Kremlin,MT,48.597362,-110.07700000000001,199.0,6.0,21.0,15.0,25.0,5.0,4.0,15.0
27274,59535,Lloyd,MT,48.031253,-109.28416000000001,80.0,0.0,10.0,0.0,4.0,7.0,2.0,5.0
27275,59537,Loring,MT,48.817553000000004,-107.87318,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
27276,59538,Malta,MT,48.235694,-107.80711000000001,2897.0,140.0,247.0,300.0,209.0,147.0,168.0,302.0
27277,59540,Rudyard,MT,48.525132,-110.54993,316.0,8.0,25.0,56.0,54.0,42.0,7.0,26.0
27278,59542,Turner,MT,48.824171,-108.44428,145.0,2.0,22.0,12.0,8.0,10.0,5.0,14.0
27279,59544,Whitewater,MT,48.751881,-107.61505,193.0,5.0,4.0,4.0,6.0,15.0,5.0,21.0
27280,59545,Whitlash,MT,48.962291,-111.16736999999999,15.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
27281,59546,Zortman,MT,47.896703,-108.54135,74.0,3.0,0.0,8.0,7.0,16.0,6.0,13.0
27282,59547,Zurich,MT,48.607955,-109.01285,55.0,3.0,3.0,7.0,0.0,8.0,0.0,2.0
27283,59601,Helena,MT,46.58880300000001,-112.04193000000001,30611.0,1732.0,2344.0,2150.0,2500.0,2048.0,1252.0,2193.0
27284,59602,Helena,MT,46.696501,-111.96895,26494.0,1780.0,1698.0,2221.0,2123.0,1354.0,1221.0,1573.0
27285,59604,Helena,MT,46.6672,-111.968877,0.0,0.0,0.0,0.0,,,,
27286,59620,Helena,MT,47.184233,-112.33021399999998,0.0,0.0,0.0,0.0,,,,
27287,59623,Helena,MT,46.590083,-112.040173,0.0,0.0,0.0,0.0,,,,
27288,59624,Helena,MT,46.610002,-112.062393,0.0,0.0,0.0,0.0,,,,
27289,59625,Helena,MT,46.601832,-112.04134599999999,0.0,0.0,0.0,0.0,,,,
27290,59626,Helena,MT,47.184233,-112.33021399999998,0.0,0.0,0.0,0.0,,,,
27291,59631,Basin,MT,46.231547,-112.34456000000002,231.0,8.0,19.0,13.0,25.0,20.0,10.0,19.0
27292,59632,Boulder,MT,46.205729,-112.06748,1823.0,184.0,138.0,167.0,193.0,161.0,102.0,119.0
