zip,cbsa,res_ratio,bus_ratio,oth_ratio,tot_ratio
06906,14860,1.000000000,1.000000000,1.000000000,1.000000000
07032,35620,1.000000000,1.000000000,1.000000000,1.000000000
07044,35620,1.000000000,1.000000000,1.000000000,1.000000000
07062,35620,1.000000000,1.000000000,1.000000000,1.000000000
07077,35620,1.000000000,1.000000000,1.000000000,1.000000000
07079,35620,1.000000000,1.000000000,1.000000000,1.000000000
07069,35620,1.000000000,1.000000000,1.000000000,1.000000000
07094,35620,1.000000000,1.000000000,1.000000000,1.000000000
07058,35620,1.000000000,1.000000000,1.000000000,1.000000000
07105,35620,1.000000000,1.000000000,1.000000000,1.000000000
07109,35620,1.000000000,1.000000000,1.000000000,1.000000000
07306,35620,1.000000000,1.000000000,1.000000000,1.000000000
07403,35620,1.000000000,1.000000000,1.000000000,1.000000000
07428,35620,1.000000000,1.000000000,1.000000000,1.000000000
07439,35620,1.000000000,1.000000000,1.000000000,1.000000000
07652,35620,1.000000000,1.000000000,1.000000000,1.000000000
07643,35620,1.000000000,1.000000000,1.000000000,1.000000000
07825,10900,0.977212193,1.000000000,1.000000000,0.978875171
07830,35620,1.000000000,1.000000000,1.000000000,1.000000000
07508,35620,1.000000000,1.000000000,1.000000000,1.000000000
07522,35620,1.000000000,1.000000000,1.000000000,1.000000000
07544,35620,1.000000000,1.000000000,1.000000000,1.000000000
07626,35620,1.000000000,1.000000000,1.000000000,1.000000000
07871,35620,1.000000000,1.000000000,1.000000000,1.000000000
08830,35620,1.000000000,1.000000000,1.000000000,1.000000000
08812,35620,1.000000000,1.000000000,1.000000000,1.000000000
07936,35620,1.000000000,1.000000000,1.000000000,1.000000000
08876,35620,1.000000000,1.000000000,1.000000000,1.000000000
08863,35620,1.000000000,1.000000000,1.000000000,1.000000000
07740,35620,1.000000000,1.000000000,1.000000000,1.000000000
07732,35620,1.000000000,1.000000000,1.000000000,1.000000000
08906,35620,1.000000000,1.000000000,1.000000000,1.000000000
07701,35620,1.000000000,1.000000000,1.000000000,1.000000000
07720,35620,1.000000000,1.000000000,1.000000000,1.000000000
08008,35620,1.000000000,1.000000000,1.000000000,1.000000000
08010,37980,1.000000000,1.000000000,1.000000000,1.000000000
08005,35620,1.000000000,1.000000000,1.000000000,1.000000000
08054,37980,1.000000000,1.000000000,1.000000000,1.000000000
08066,37980,1.000000000,1.000000000,1.000000000,1.000000000
08063,37980,1.000000000,1.000000000,1.000000000,1.000000000
08360,47220,0.914227569,0.949977262,0.975945017,0.920104680
08302,47220,0.958919116,0.988399072,1.000000000,0.961630429
08270,12100,0.075769330,0.093877551,0.000000000,0.076680417
08401,12100,1.000000000,1.000000000,1.000000000,1.000000000
08244,12100,1.000000000,1.000000000,1.000000000,1.000000000
08225,12100,1.000000000,1.000000000,1.000000000,1.000000000
08618,45940,1.000000000,1.000000000,1.000000000,1.000000000
08611,45940,1.000000000,1.000000000,1.000000000,1.000000000
08735,35620,1.000000000,1.000000000,1.000000000,1.000000000
08757,35620,1.000000000,1.000000000,1.000000000,1.000000000
08648,45940,1.000000000,1.000000000,1.000000000,1.000000000
19801,37980,1.000000000,1.000000000,1.000000000,1.000000000
19714,37980,1.000000000,1.000000000,1.000000000,1.000000000
19939,41540,1.000000000,1.000000000,1.000000000,1.000000000
19950,41540,0.777966678,0.870370370,1.000000000,0.782594524
19950,20100,0.222033322,0.129629630,0.000000000,0.217405476
19971,41540,1.000000000,1.000000000,1.000000000,1.000000000
10007,35620,1.000000000,1.000000000,1.000000000,1.000000000
10011,35620,1.000000000,1.000000000,1.000000000,1.000000000
10009,35620,1.000000000,1.000000000,1.000000000,1.000000000
10021,35620,1.000000000,1.000000000,1.000000000,1.000000000
10018,35620,1.000000000,1.000000000,1.000000000,1.000000000
10028,35620,1.000000000,1.000000000,1.000000000,1.000000000
10118,35620,0.000000000,1.000000000,1.000000000,1.000000000
10169,35620,0.000000000,1.000000000,1.000000000,1.000000000
10163,35620,1.000000000,1.000000000,1.000000000,1.000000000
10032,35620,1.000000000,1.000000000,1.000000000,1.000000000
10471,35620,1.000000000,1.000000000,1.000000000,1.000000000
10466,35620,1.000000000,1.000000000,1.000000000,1.000000000
10512,35620,1.000000000,1.000000000,1.000000000,1.000000000
10514,35620,1.000000000,1.000000000,1.000000000,1.000000000
10520,35620,1.000000000,1.000000000,1.000000000,1.000000000
10507,35620,1.000000000,1.000000000,1.000000000,1.000000000
10502,35620,1.000000000,1.000000000,1.000000000,1.000000000
10461,35620,1.000000000,1.000000000,1.000000000,1.000000000
10541,35620,1.000000000,1.000000000,1.000000000,1.000000000
10530,35620,1.000000000,1.000000000,1.000000000,1.000000000
10546,35620,1.000000000,1.000000000,1.000000000,1.000000000
10606,35620,1.000000000,1.000000000,1.000000000,1.000000000
10595,35620,1.000000000,1.000000000,1.000000000,1.000000000
10701,35620,1.000000000,1.000000000,1.000000000,1.000000000
10589,35620,1.000000000,1.000000000,1.000000000,1.000000000
10579,35620,1.000000000,1.000000000,1.000000000,1.000000000
10940,35620,0.979721454,0.999144568,0.985277463,0.981713110
10950,35620,0.973436861,0.980808081,0.983040201,0.974582720
10920,35620,1.000000000,1.000000000,1.000000000,1.000000000
10941,35620,0.998197312,0.985294118,0.969879518,0.996151653
10928,35620,0.998640073,0.993975904,0.994186047,0.997576177
10921,35620,1.000000000,1.000000000,0.982905983,0.999226306
10917,35620,1.000000000,1.000000000,0.800000000,0.996076233
12404,28740,1.000000000,1.000000000,1.000000000,1.000000000
12459,99999,1.000000000,0.000000000,1.000000000,1.000000000
10992,35620,0.998641304,1.000000000,0.988235294,0.998396472
12402,28740,1.000000000,1.000000000,1.000000000,1.000000000
12524,35620,0.999321482,0.999015748,0.998435055,0.999224291
12529,26460,1.000000000,1.000000000,1.000000000,1.000000000
12498,28740,1.000000000,1.000000000,1.000000000,1.000000000
10956,35620,1.000000000,1.000000000,1.000000000,1.000000000
10962,35620,1.000000000,1.000000000,1.000000000,1.000000000
10990,35620,0.997293335,0.997663551,0.944186047,0.996176293
12571,35620,0.915900131,0.971153846,0.909090909,0.920053940
12564,35620,0.981022837,0.962962963,0.859756098,0.973867111
12582,35620,1.000000000,1.000000000,1.000000000,1.000000000
12790,99999,1.000000000,1.000000000,1.000000000,1.000000000
11004,35620,1.000000000,1.000000000,1.000000000,1.000000000
12723,99999,1.000000000,1.000000000,1.000000000,1.000000000
12590,35620,0.991418444,0.977513228,0.954582989,0.987928100
12594,35620,0.994078947,1.000000000,0.928571429,0.992606285
11103,35620,1.000000000,1.000000000,1.000000000,1.000000000
11042,35620,0.000000000,1.000000000,1.000000000,1.000000000
