"","zip","city","state","latitude","longitude"
"4236","10953","Mountainville","NY",41.409284,-74.083045
"4237","10954","Nanuet","NY",41.100182,-74.0133
"4238","10956","New City","NY",41.145495,-73.9949
"4239","10957","Lewisboro","NY",41.308218,-73.613803
"4240","10958","New Hampton","NY",41.384738,-74.41571
"4241","10959","New Milford","NY",41.387822,-74.354699
"4242","10960","Nyack","NY",41.089746,-73.9258
"4243","10962","Orangeburg","NY",41.047996,-73.96215
"4244","10963","Otisville","NY",41.475197,-74.53847
"4245","10964","Palisades","NY",41.011464,-73.92585
"4246","10965","Pearl River","NY",41.063329,-74.01734
"4247","10968","Piermont","NY",41.040623,-73.91878
"4248","10969","Pine Island","NY",41.295568,-74.48935
"4249","10970","Pomona","NY",41.192394,-74.04523
"4250","10973","Slate Hill","NY",41.391172,-74.47758
"4251","10974","Sloatsburg","NY",41.156095,-74.19214
"4252","10975","Southfields","NY",41.246428,-74.17141
"4253","10976","Sparkill","NY",41.028647,-73.92817
"4254","10977","Spring Valley","NY",41.116795,-74.04504
"4255","10979","Sterling Forest","NY",41.182344,-74.318354
"4256","10980","Stony Point","NY",41.231408,-74.01157
"4257","10981","Sugar Loaf","NY",41.323172,-74.288565
"4258","10982","Tallman","NY",41.160945,-74.060826
"4259","10983","Tappan","NY",41.025897,-73.95118
"4260","10984","Thiells","NY",41.208327,-74.02105
"4261","10985","Thompson Ridge","NY",41.580793,-74.37451
"4262","10986","Tomkins Cove","NY",41.271543,-73.98676
"4263","10987","Tuxedo Park","NY",41.197123,-74.21069
"4264","10988","Unionville","NY",41.314931,-74.550346
"4265","10989","Valley Cottage","NY",41.119788,-73.94455
"4266","10990","Warwick","NY",41.259896,-74.35837
"4267","10992","Washingtonville","NY",41.428269,-74.16178
"4268","10993","West Haverstraw","NY",41.207594,-73.97772
"4269","10994","West Nyack","NY",41.097529,-73.96996
"4270","10995","West Nyack","NY",41.160945,-74.060826
"4271","10996","West Point","NY",41.376109,-73.9788
"4272","10997","West Point","NY",41.387822,-74.354699
"4273","10998","Westtown","NY",41.334034,-74.54593
"4274","11001","Floral Park","NY",40.7232,-73.70475
"4275","11002","Floral Park","NY",40.754757,-73.601772
"4276","11003","Elmont","NY",40.700529,-73.70223
"4277","11004","Glen Oaks","NY",40.742944,-73.70956
"4278","11005","Floral Park","NY",40.756983,-73.7148
"4279","11010","Franklin Square","NY",40.701702,-73.67562
"4280","11020","Great Neck","NY",40.771082,-73.71819
"4281","11021","Great Neck","NY",40.787068,-73.72577
"4282","11022","Great Neck","NY",40.754757,-73.601772
"4283","11023","Great Neck","NY",40.798839,-73.73352
"4284","11024","Great Neck","NY",40.812887,-73.74094
"4285","11025","Great Neck","NY",40.754757,-73.601772
"4286","11026","Great Neck","NY",40.754757,-73.601772
"4287","11027","Great Neck","NY",40.754757,-73.601772
"4288","11030","Manhasset","NY",40.796752,-73.68935
"4289","11040","New Hyde Park","NY",40.742901,-73.67895
"4290","11041","New Hyde Park","NY",40.754757,-73.601772
"4291","11042","New Hyde Park","NY",40.760128,-73.69379
"4292","11043","New Hyde Park","NY",40.754757,-73.601772
"4293","11044","New Hyde Park","NY",40.754757,-73.601772
"4294","11050","Port Washington","NY",40.833246,-73.69309
"4295","11051","Port Washington","NY",40.754757,-73.601772
"4296","11052","Port Washington","NY",40.754757,-73.601772
"4297","11053","Port Washington","NY",40.754757,-73.601772
"4298","11054","Port Washington","NY",40.754757,-73.601772
"4299","11055","Port Washington","NY",40.754757,-73.601772
"4300","11096","Inwood","NY",40.618206,-73.74762
"4301","11099","New Hyde Park","NY",40.754757,-73.601772
"4302","11101","Long Island City","NY",40.745341,-73.93907
"4303","11102","Astoria","NY",40.771286,-73.92462
"4304","11103","Astoria","NY",40.762968,-73.91091
"4305","11104","Sunnyside","NY",40.743796,-73.91949
"4306","11105","Astoria","NY",40.774686,-73.90816
"4307","11106","Astoria","NY",40.762012,-73.93147
"4308","11109","Long Island City","NY",40.651378,-73.870779
"4309","11120","Long Island City","NY",40.651378,-73.870779
"4310","11201","Brooklyn","NY",40.695286,-73.98907
"4311","11202","Brooklyn","NY",40.645099,-73.945032
"4312","11203","Brooklyn","NY",40.649059,-73.93304
"4313","11204","Brooklyn","NY",40.618944,-73.98473
"4314","11205","Brooklyn","NY",40.694214,-73.96529
"4315","11206","Brooklyn","NY",40.702348,-73.94288
"4316","11207","Brooklyn","NY",40.670874,-73.89424
"4317","11208","Brooklyn","NY",40.672666,-73.87248
"4318","11209","Brooklyn","NY",40.62327,-74.0295
"4319","11210","Brooklyn","NY",40.627946,-73.94552
"4320","11211","Brooklyn","NY",40.71209,-73.95427
"4321","11212","Brooklyn","NY",40.662191,-73.91328
"4322","11213","Brooklyn","NY",40.670937,-73.93459
"4323","11214","Brooklyn","NY",40.598994,-73.99611
"4324","11215","Brooklyn","NY",40.667508,-73.9856
"4325","11216","Brooklyn","NY",40.680398,-73.94824
"4326","11217","Brooklyn","NY",40.68209,-73.97783
"4327","11218","Brooklyn","NY",40.644552,-73.97595
"4328","11219","Brooklyn","NY",40.632449,-73.99629
"4329","11220","Brooklyn","NY",40.641436,-74.01574
"4330","11221","Brooklyn","NY",40.691234,-73.92637
"4331","11222","Brooklyn","NY",40.726302,-73.94559
"4332","11223","Brooklyn","NY",40.598142,-73.97229
"4333","11224","Brooklyn","NY",40.576589,-73.99172
"4334","11225","Brooklyn","NY",40.662892,-73.95509
"4335","11226","Brooklyn","NY",40.645256,-73.95553
"4336","11228","Brooklyn","NY",40.617563,-74.01168
"4337","11229","Brooklyn","NY",40.599256,-73.94118
"4338","11230","Brooklyn","NY",40.622994,-73.96427
"4339","11231","Brooklyn","NY",40.6788,-74.00254
"4340","11232","Brooklyn","NY",40.655481,-74.00424
"4341","11233","Brooklyn","NY",40.676938,-73.91858
"4342","11234","Brooklyn","NY",40.618561,-73.9216
"4343","11235","Brooklyn","NY",40.583803,-73.95019
"4344","11236","Brooklyn","NY",40.640527,-73.90362
"4345","11237","Brooklyn","NY",40.703355,-73.91993
"4346","11238","Brooklyn","NY",40.680145,-73.96257
"4347","11239","Brooklyn","NY",40.645848,-73.87919
"4348","11240","Brooklyn","NY",40.645099,-73.945032
"4349","11241","Brooklyn","NY",40.645099,-73.945032
"4350","11242","Brooklyn","NY",40.645099,-73.945032
"4351","11243","Brooklyn","NY",40.645099,-73.945032
"4352","11244","Brooklyn","NY",40.645099,-73.945032
"4353","11245","Brooklyn","NY",40.645099,-73.945032
"4354","11247","Brooklyn","NY",40.645099,-73.945032
"4355","11248","Brooklyn","NY",40.645099,-73.945032
"4356","11249","Brooklyn","NY",40.645099,-73.945032
"4357","11251","Brooklyn","NY",40.645099,-73.945032
"4358","11252","Brooklyn","NY",40.645099,-73.945032
"4359","11254","Brooklyn","NY",40.645099,-73.945032
"4360","11255","Brooklyn","NY",40.645099,-73.945032
"4361","11256","Brooklyn","NY",40.645099,-73.945032
"4362","11286","New York","NY",40.658825,-74.004495
"4363","11302","New York","NY",40.75945,-73.715016
"4364","11351","Flushing","NY",40.781703,-73.831698
"4365","11352","Flushing","NY",40.651378,-73.870779
"4366","11353","Flushing","NY",40.651378,-73.870779
"4367","11354","Flushing","NY",40.767969,-73.82496
"4368","11355","Flushing","NY",40.749463,-73.81941
"4369","11356","College Point","NY",40.785462,-73.84366
"4370","11357","Whitestone","NY",40.784453,-73.80922
"4371","11358","Flushing","NY",40.760522,-73.79612
"4372","11359","Bayside","NY",40.79278,-73.776701
"4373","11360","Bayside","NY",40.780386,-73.78005
"4374","11361","Bayside","NY",40.763177,-73.77392
"4375","11362","Little Neck","NY",40.759686,-73.73322
"4376","11363","Little Neck","NY",40.772636,-73.74644
"4377","11364","Oakland Gardens","NY",40.746718,-73.75994
"4378","11365","Fresh Meadows","NY",40.738983,-73.79209
"4379","11366","Fresh Meadows","NY",40.726137,-73.79502
"4380","11367","Flushing","NY",40.728614,-73.82145
"4381","11368","Corona","NY",40.747106,-73.85838
"4382","11369","East Elmhurst","NY",40.762854,-73.87051
"4383","11370","East Elmhurst","NY",40.763015,-73.89052
"4384","11371","Flushing","NY",40.772072,-73.87509
"4385","11372","Jackson Heights","NY",40.750146,-73.88433
"4386","11373","Elmhurst","NY",40.736076,-73.87804
"4387","11374","Rego Park","NY",40.724945,-73.8609
"4388","11375","Forest Hills","NY",40.720535,-73.84582
"4389","11377","Woodside","NY",40.742869,-73.90377
"4390","11378","Maspeth","NY",40.724096,-73.90271
"4391","11379","Middle Village","NY",40.716028,-73.87925
"4392","11380","Elmhurst","NY",40.651378,-73.870779
"4393","11381","Flushing","NY",40.651378,-73.870779
"4394","11385","Ridgewood","NY",40.703069,-73.89285
"4395","11386","Ridgewood","NY",40.651378,-73.870779
"4396","11388","Flushing","NY",40.651378,-73.870779
"4397","11390","Flushing","NY",40.651378,-73.870779
"4398","11405","Jamaica","NY",40.651378,-73.870779
"4399","11411","Cambria Heights","NY",40.693538,-73.73574
"4400","11412","Saint Albans","NY",40.697188,-73.75948
"4401","11413","Springfield Gardens","NY",40.670138,-73.75141
"4402","11414","Howard Beach","NY",40.658188,-73.84321
"4403","11415","Kew Gardens","NY",40.706903,-73.82973
"4404","11416","Ozone Park","NY",40.683301,-73.8503
"4405","11417","Ozone Park","NY",40.675534,-73.84476
"4406","11418","Richmond Hill","NY",40.698485,-73.83365
"4407","11419","South Richmond Hill","NY",40.688688,-73.82216
"4408","11420","South Ozone Park","NY",40.673138,-73.81443
"4409","11421","Woodhaven","NY",40.69087,-73.85828
"4410","11422","Rosedale","NY",40.662538,-73.73514
"4411","11423","Hollis","NY",40.714261,-73.76824
"4412","11424","Jamaica","NY",40.651378,-73.870779
"4413","11425","Jamaica","NY",40.651378,-73.870779
"4414","11426","Bellerose","NY",40.732239,-73.72108
"4415","11427","Queens Village","NY",40.728235,-73.74782
"4416","11428","Queens Village","NY",40.719981,-73.74127
"4417","11429","Queens Village","NY",40.708833,-73.73903
"4418","11430","Jamaica","NY",40.650519,-73.79567
"4419","11431","Jamaica","NY",40.686903,-73.850143
"4420","11432","Jamaica","NY",40.714144,-73.79324
"4421","11433","Jamaica","NY",40.696538,-73.78734
"4422","11434","Jamaica","NY",40.674888,-73.7727
"4423","11435","Jamaica","NY",40.700068,-73.80986
