,zip,city,state,score
13930,30740,Rocky Face,GA,0.08704385904283922
13931,30741,Rossville,GA,0.1461968376501165
13932,30742,Fort Oglethorpe,GA,0.04302642022315827
13933,30746,Sugar Valley,GA,0.006067963255063632
13934,30747,Summerville,GA,0.11694047301487721
13935,30750,Lookout Mountain,GA,0.018513071948377847
13936,30751,Tennga,GA,0.0
13937,30752,Trenton,GA,0.06753735104857501
13938,30753,Trion,GA,0.05009783014429109
13940,30755,Tunnel Hill,GA,0.08152456755690983
13941,30756,Varnell,GA,0.0
13942,30757,Wildwood,GA,0.009127839039254347
13943,30802,Appling,GA,0.044988703308537964
13944,30803,Avera,GA,0.004599176160602257
13945,30805,Blythe,GA,0.022304089754735017
13947,30807,Camak,GA,0.00012759058971141795
13948,30808,Dearing,GA,0.024390135806894902
13949,30809,Evans,GA,0.2007107983823266
13950,30810,Gibson,GA,0.013358802939594908
13952,30812,Gracewood,GA,0.0016517945330704424
13953,30813,Grovetown,GA,0.23181269999999998
13954,30814,Harlem,GA,0.05257257904642409
13955,30815,Hephzibah,GA,0.2959234824251658
13956,30816,Keysville,GA,0.015520551398100017
13957,30817,Lincolnton,GA,0.05208125120989425
13958,30818,Matthews,GA,0.002739214712911514
13960,30820,Mitchell,GA,0.013711337097448761
13961,30821,Norwood,GA,0.0056892289538149005
13962,30822,Perkins,GA,0.006204004286909242
13963,30823,Stapleton,GA,0.014072765561331179
13964,30824,Thomson,GA,0.10152481183157076
13965,30828,Warrenton,GA,0.02127608855977774
13966,30830,Waynesboro,GA,0.09741321828882117
13967,30833,Wrens,GA,0.02302617703292107
13969,30901,Augusta,GA,0.049065901801398096
13970,30903,Augusta,GA,0.0
13971,30904,Augusta,GA,0.11718865149220288
13972,30905,Augusta,GA,0.011057979655852306
13973,30906,Augusta,GA,0.2591492906838143
13974,30907,Augusta,GA,0.36268990240186416
13975,30909,Augusta,GA,0.2371837880086037
13978,30912,Augusta,GA,0.0
13985,31001,Abbeville,GA,0.02977473346925972
13986,31002,Adrian,GA,0.02104184346059628
13987,31003,Allentown,GA,0.0006514384298261336
13989,31005,Bonaire,GA,0.08036025947750493
13990,31006,Butler,GA,0.03140435621079046
13991,31007,Byromville,GA,0.009672088770388958
13992,31008,Byron,GA,0.141277566099062
13993,31009,Cadwell,GA,0.004563060414052697
13995,31011,Chauncey,GA,0.004253635845731014
13996,31012,Chester,GA,0.031010011865925786
13998,31014,Cochran,GA,0.0831119914709924
13999,31015,Cordele,GA,0.09572205887405148
14000,31016,Culloden,GA,0.010613667453844771
14001,31017,Danville,GA,0.00395581904164426
14002,31018,Davisboro,GA,0.0033733045348628777
14003,31019,Dexter,GA,0.009767709508872558
14004,31020,Dry Branch,GA,0.01182121042600227
14005,31021,Dublin,GA,0.16911063343789207
14006,31022,Dudley,GA,0.015592128439983267
14007,31023,Eastman,GA,0.07365337452948557
14008,31024,Eatonton,GA,0.1381725108427436
14009,31025,Elko,GA,0.007787474241202126
14011,31027,Dublin,GA,0.048368146459939046
14012,31028,Centerville,GA,0.03828569657047261
14013,31029,Forsyth,GA,0.1204643916771225
14014,31030,Fort Valley,GA,0.08947286386897293
14015,31031,Gordon,GA,0.030372843998327053
14016,31032,Gray,GA,0.10227449525303221
14017,31033,Haddock,GA,0.030893565701738665
14019,31035,Harrison,GA,0.0063865877128517655
14020,31036,Hawkinsville,GA,0.08861078608770985
14021,31037,Helena,GA,0.018511670496504748
14022,31038,Hillsboro,GA,0.00583633909900221
14025,31041,Ideal,GA,0.004241574680348928
14026,31042,Irwinton,GA,0.015211243681663381
14027,31044,Jeffersonville,GA,0.01947072308657465
14028,31045,Jewell,GA,0.0
14029,31046,Juliette,GA,0.027453187608293003
14030,31047,Kathleen,GA,0.08297702159138437
14031,31049,Kite,GA,0.008496261513413395
14032,31050,Knoxville,GA,0.0017593206667861623
14033,31051,Lilly,GA,0.0005036140213299874
14034,31052,Lizella,GA,0.07033245270359086
14035,31054,McIntyre,GA,0.010373512505227936
14036,31055,McRae,GA,0.04019307362430542
14037,31057,Marshallville,GA,0.007451760769552488
14038,31058,Mauk,GA,0.01363852191551652
14040,31060,Milan,GA,0.015152582953934396
14041,31061,Milledgeville,GA,0.2243428459222082
14042,31062,Milledgeville,GA,0.0018176921476369718
14043,31063,Montezuma,GA,0.02309520518611459
14044,31064,Monticello,GA,0.06556257931827687
14045,31065,Montrose,GA,0.011161311764354424
14046,31066,Musella,GA,0.007095799749058971
14047,31067,Oconee,GA,0.0015334860638107188
14048,31068,Oglethorpe,GA,0.032301194102885816
14049,31069,Perry,GA,0.12992313059688115
14050,31070,Pinehurst,GA,0.0
14051,31071,Pineview,GA,0.005088550606440818
14052,31072,Pitts,GA,0.009737930955368344
14054,31075,Rentz,GA,0.012824434075700544
14055,31076,Reynolds,GA,0.015088356336260975
14056,31077,Rhine,GA,0.008931655165202843
14057,31078,Roberta,GA,0.017149708275079164
14058,31079,Rochelle,GA,0.012477099265101271
14059,31081,Rupert,GA,0.0
14060,31082,Sandersville,GA,0.06701555587918981
14061,31083,Scotland,GA,0.0040701873095536825
14062,31084,Seville,GA,0.0001302876859652267
14063,31085,Shady Dale,GA,0.007314313482105514
14065,31087,Sparta,GA,0.041842790201350295
14066,31088,Warner Robins,GA,0.38074953431767944
14067,31089,Tennille,GA,0.02572553811166875
14068,31090,Toomsboro,GA,0.0
14069,31091,Unadilla,GA,0.03144400427944076
14070,31092,Vienna,GA,0.03376078099121706
14071,31093,Warner Robins,GA,0.19405098392782455
14072,31094,Warthen,GA,0.012750540111728504
14074,31096,Wrightsville,GA,0.03832846574953695
14075,31097,Yatesville,GA,0.01070442731672343
14076,31098,Warner Robins,GA,0.011570281785863654
14101,31201,Macon,GA,0.02089160485152656
14104,31204,Macon,GA,0.15624044430901593
14106,31206,Macon,GA,0.07446508473442075
14107,31207,Macon,GA,0.0
14110,31210,Macon,GA,0.219279284363984
14111,31211,Macon,GA,0.0650844617314931
14114,31216,Macon,GA,0.14880853115851111
14115,31217,Macon,GA,0.08133140562824877
14116,31220,Macon,GA,0.10760260241381371
14125,31301,Allenhurst,GA,0.03182988070442732
14126,31302,Bloomingdale,GA,0.06726457716436637
14127,31303,Clyo,GA,0.024774296277708073
14129,31305,Darien,GA,0.04483679945031965
14130,31307,Eden,GA,0.0
14131,31308,Ellabell,GA,0.052537302885821834
14132,31309,Fleming,GA,0.002236668757841907
14134,31312,Guyton,GA,0.12301250231224233
14135,31313,Hinesville,GA,0.2604467420445719
14136,31314,Fort Stewart,GA,0.0
14137,31315,Fort Stewart,GA,0.011774542041584513
14138,31316,Ludowici,GA,0.07947646038716615
14139,31318,Meldrim,GA,0.0017427950648264327
14141,31320,Midway,GA,0.04914903310330406
14142,31321,Pembroke,GA,0.04466736121915517
14143,31322,Pooler,GA,0.1564191439326044
14144,31323,Riceboro,GA,0.006714261679213718
