"GeoFips","GeoName","LineCode","Description","2016"
"14010","Bloomington, IL (Metropolitan Statistical Area)","1","RPPs: All items",93.8
"14010","Bloomington, IL (Metropolitan Statistical Area)","2","  RPPs: Goods",96.7
"14010","Bloomington, IL (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",87.8
"14010","Bloomington, IL (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.2
"14020","Bloomington, IN (Metropolitan Statistical Area)","1","RPPs: All items",93.7
"14020","Bloomington, IN (Metropolitan Statistical Area)","2","  RPPs: Goods",96.8
"14020","Bloomington, IN (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",89.1
"14020","Bloomington, IN (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.3
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","1","RPPs: All items",93.3
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","2","  RPPs: Goods",98.0
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",75.4
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",100.6
"14260","Boise City, ID (Metropolitan Statistical Area)","1","RPPs: All items",94.8
"14260","Boise City, ID (Metropolitan Statistical Area)","2","  RPPs: Goods",95.5
"14260","Boise City, ID (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",83.3
"14260","Boise City, ID (Metropolitan Statistical Area)","4","  RPPs: Services: Other",101.8
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","1","RPPs: All items",111.1
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","2","  RPPs: Goods",101.4
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",141.0
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","4","  RPPs: Services: Other",107.2
"14500","Boulder, CO (Metropolitan Statistical Area)","1","RPPs: All items",108.9
"14500","Boulder, CO (Metropolitan Statistical Area)","2","  RPPs: Goods",100.9
"14500","Boulder, CO (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",144.5
"14500","Boulder, CO (Metropolitan Statistical Area)","4","  RPPs: Services: Other",99.4
"14540","Bowling Green, KY (Metropolitan Statistical Area)","1","RPPs: All items",85.1
"14540","Bowling Green, KY (Metropolitan Statistical Area)","2","  RPPs: Goods",91.1
"14540","Bowling Green, KY (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",65.5
"14540","Bowling Green, KY (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)","1","RPPs: All items",106.4
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)","2","  RPPs: Goods",106.3
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",111.2
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",104.0
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","1","RPPs: All items",120.1
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","2","  RPPs: Goods",110.5
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",147.9
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","4","  RPPs: Services: Other",116.8
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","1","RPPs: All items",83.8
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","2","  RPPs: Goods",97.9
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",57.1
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"15260","Brunswick, GA (Metropolitan Statistical Area)","1","RPPs: All items",85.6
"15260","Brunswick, GA (Metropolitan Statistical Area)","2","  RPPs: Goods",91.3
"15260","Brunswick, GA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",73.1
"15260","Brunswick, GA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.2
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)","1","RPPs: All items",94.4
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)","2","  RPPs: Goods",98.0
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",78.2
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)","4","  RPPs: Services: Other",100.6
"15500","Burlington, NC (Metropolitan Statistical Area)","1","RPPs: All items",89.4
"15500","Burlington, NC (Metropolitan Statistical Area)","2","  RPPs: Goods",97.9
"15500","Burlington, NC (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",71.2
"15500","Burlington, NC (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","1","RPPs: All items",104.6
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","2","  RPPs: Goods",98.0
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",126.3
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","4","  RPPs: Services: Other",100.6
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)","1","RPPs: All items",100.3
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)","2","  RPPs: Goods",91.3
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",122.3
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.2
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)","1","RPPs: All items",88.6
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)","2","  RPPs: Goods",97.2
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",64.9
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.6
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)","1","RPPs: All items",95.9
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)","2","  RPPs: Goods",97.9
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",96.3
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)","1","RPPs: All items",82.7
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)","2","  RPPs: Goods",92.9
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",63.9
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)","4","  RPPs: Services: Other",90.2
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)","1","RPPs: All items",83.5
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)","2","  RPPs: Goods",92.9
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",65.9
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)","4","  RPPs: Services: Other",90.2
"16180","Carson City, NV (Metropolitan Statistical Area)","1","RPPs: All items",95.6
"16180","Carson City, NV (Metropolitan Statistical Area)","2","  RPPs: Goods",99.4
"16180","Carson City, NV (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",91.7
"16180","Carson City, NV (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.0
"16220","Casper, WY (Metropolitan Statistical Area)","1","RPPs: All items",97.6
"16220","Casper, WY (Metropolitan Statistical Area)","2","  RPPs: Goods",95.4
"16220","Casper, WY (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",95.2
"16220","Casper, WY (Metropolitan Statistical Area)","4","  RPPs: Services: Other",102.0
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)","1","RPPs: All items",89.3
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)","2","  RPPs: Goods",96.7
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",69.5
